,Frutas,Legumes,Verduras,Pescados
Janeiro,Abacaxi Carambola Coco verde Figo Framboesa Fruta do conde Laranja-pera Mamão Maracujá Marmelo Melancia Nectarina Uva,Abóbora Abobrinha Beterraba Pepino Pimentão Quiabo Tomate,Alface Cebolinha Couva Salsa,Agulhão Barbado Camorim Cará Caranguejo Dourado Manjuba Mexilhão Ostra
Fevereiro,Abacate Ameixa Carambola Coco verde Figo Fruta do conde Goiaba Jaca Laranja-pera Maçã Pera Pêssego Seriguela Uva,Abóbora Gengibre Milho verde Pepino Pimentão Quiabo Tomate,Escarola Hortelã Repolho,Badejo Cambeva Camorim Cascudo Chora-chora Manjuba Meca Merluza Mexilhão Traíra
Março,"Abacate Abacaxi Ameixa Banana-maçã Banana-nanica Coco verde Figo Fruta do conde Goiaba, Jaca Laranja-pera Limão Maçã Mamão Mangostão Nectariana Pera, Uva Pêssego Seriguela Tangerina","Abóbora Abobrinha Berinjela Beterraba Cará, Chuchu Gengibre Inhame, Jiló Milho-verde Nabo, Pepino Quiabo Tomate","Acelga, Alface Alho-porró Coentro Endívia Escarola Repolho Rúcula, Salsa","Bacalhau Badejo Bagre Cação Carapau Cascote Cavalinha Corvina Curimbatá Lula, Merluza Mexilhão Pacu, Pargo Pescada Pintado Robalo Sardinha Tainha Traíra"
Abril,Abacate Ameixa Banana-maçã Caqui Cidra Jaca Kiwi Maçã Mamão Pera Tangerina Uva,Abóbora Abrobrinha Berinjela Beterraba Cará Chuchu Gengibre Inhame Nabo Pepino Tomate,Alface Alho-porró Almeirão Catalonha Escarola Repolho,Bagre Barbado Cação Camorim Caranguejo Carapau Cascote Chora-chora Corvina Curimbatá Dourada Merluza Linguado Lula Meca Pargo Pintado Sardinha Tainha Traíra
Maio,Abacate Banana-maçã Caqui Jaca Kiwi Maçã Pera Tangerina Uva,Abóbora Abobrinha Batata-doce Berinjela Beterraba Cará Cenoura Chuchu Inhame Mandioca Mandioquinha Nabo Rabanete,Alho-porró Almeirão Erva-doce Louro Nabo Rabanete,Abrotea Barbado Camorim Carapau Congrio Garoupa Lambari Linguado Polvo Tainha Tambica Traíra
Junho,Carambola Kiwi Laranja-lima Mangostão Marmelo Mexerica Tangerina,Abóbora Batata-doce Berinjela Cará Cenoura Ervilha Gengibre Inhame Mandioca Mandioquinha Milho-verde Palmito,Agrião Alho-porró Almeirão Brócolis Erva-doce,Anequim Camarão Cara Caranguejo Cascote Cherne Enguia Lambari Pargo Polvo Porco Sardinha Siri Tambica Truta
Julho,Carambola Kiwi Laranja-lima Mexerica Tangerina,"Abóbora Batata-doce Cenoura, Cará Cogumelo Ervilha Inhame Mandioca Mandioquinha Milho-verde Nabo, Palmito Pepino Rabanete",Agrião Alho-porró Cenoura Chicória Coentro Couve Erva-doce Espinafre Mostarda Salsão,Abrotea Anchovas Cara Cascote Cherne Conglio Espada Pargo Sardinha Trilha
Agosto,Banana-nanica Caju Carambola Kiwi Laranja-pera Lima Maçã Mamão Mexerica Morango Tangerina,Abóbora Abobrinha Cará Cenoura Ervilha Fava Inhame Mandioca Mandioquinha Nabo Pimentão Rabanete,Agrião Alho-porró Brócolis Chicória Coentro Couve Couve-flor Erva-doce Escarola Espinafre Mostarda Rúcula,"Atum Cação Cara Cherne Chiova Chora-chora Conglio Corvina Dourada Espada Garoupa Lambari Mexilhão Namorado Ostra Piranha Porco Sardinha Tilápia Traíra, Trilha Tucunaré"
Setembro,Abacaxi Banana-nanica Caju Jabuticaba Laranja-lima Laranja-pera Maçã Mexerica Nêspera Tamarindo Tangerina,Abóbora Abobrinha Cará Cogumelo Ervilha Fava Inhame Pimentão Rabanete,Alho-porró Almeirão Brócolis Chicória Couve Couve-flor Erva-doce Espinafre Louro Orégano,Atum Carapau Cascudo Castanha Corvina Lambari Meca Sardinha Tambica Tilápia Traíra Tucunaré
Outubro,"Abacaxi Acerola Banana-nanica Banana-prata Caju, Manga Coco-verde Jabuticaba Laranja-pera Lima, Maçã Mamão Nêspera Tangerina","Abóbora Abobrinha Alcachofra Aspargos Batata-doce Berinjela Beterraba Cenoura Cogumelo Ervilha, Fava Inhame,Pepino Pimentão Rabanete Tomate Tomate-caqui",Alho-porró Almeirão Brócolis Catalonha Cebolinha Chicória Coentro Couve-flor Erva-doce Espinafre Folha de uva Hortelã Mostarda Orégano,"Atum, Bonito Cação, Chiova Castanha Chora-chora Corvina Gordinho Lambari Linguado Meca, Merluza Pintado Piranha Robalo Salmão, Siri Tilápia, Traíra Tucunaré"
Novembro,Abacaxi Acerola Banana-nanica Banana-prata Caju Coco verde Framboesa Jaca Laranja-pera Maçã Mamão Manga Maracujá Melancia Melão Nectarina Pêssego Tangerina,Abobrinha Aspargos Berinjela Beterraba Cenoura Inhame Maxixe Nabo Pepino Pimentão Tomate,Alho-porró Almeirão Brócolis Cebolinha Endívia Erva-doce Espinafre Folha de uva,Bonito Cação Cambeva Corvina Dourada Dourado Espada Gordinho Manjuba Siri
Dezembro,Abacaxi Ameixa Banana-prata Cereja Coco verde Damasco Figo Framboesa Graviola Kiwi Laranja-pera Limão Lichia Maçã Manga Maracujá Melancia Melão Nectarina Pêssego Romã Uva,Abobrinha Beterraba Cenoura Cogumelo Pimentão Tomate Vagemmacarrão,Almeirão Cebolinha Endívias Erva-doce Folha de uva Hortelã Orégano Rúcula Salsa Salsão,Agulhão Anequim Barbado Bonito Cambeva Camorim Dourada Dourado Enguia Espada Manjuba Meca Mexilhão Ostra Salmão Truta
